listing_id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,reviews_per_month,review_scores_value
1097838994616301506,37,37,7,2024-04-18,2024-06-03,4.84,4.97,4.92,4.49,4.59,5.0,17.08,4.86
1097912261874155532,1,1,0,2024-04-07,2024-04-07,4.0,5.0,5.0,4.0,4.0,5.0,0.39,5.0
1097912270465413709,1,1,1,2024-06-13,2024-06-13,4.0,5.0,5.0,3.0,3.0,5.0,1.0,3.0
1097912287923169496,0,0,0,,,,,,,,,,
1097912306018558666,0,0,0,,,,,,,,,,
1097913794239178365,27,27,3,2024-03-24,2024-06-01,4.0,4.3,4.48,3.78,3.85,3.44,9.0,3.96
1097939263242884392,4,4,0,2024-04-15,2024-05-19,4.25,4.5,4.75,4.0,3.5,4.5,1.76,3.75
1097943051767046449,8,8,3,2024-03-17,2024-05-28,4.63,4.88,4.63,4.5,5.0,3.88,2.47,4.5
1097993513404830534,7,7,0,2024-03-10,2024-05-12,5.0,5.0,5.0,5.0,5.0,4.86,2.02,5.0
1098058225327538050,8,8,0,2024-03-05,2024-05-20,4.88,5.0,4.75,5.0,5.0,4.0,2.2,4.88
1098791125704702827,5,5,3,2024-03-05,2024-06-19,5.0,5.0,5.0,5.0,5.0,5.0,1.38,5.0
